Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1961","1961","ha","260000","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1962","1962","ha","277000","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1963","1963","ha","292000","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1964","1964","ha","308000","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1965","1965","ha","327000","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1966","1966","ha","342800","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1967","1967","ha","358000","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1968","1968","ha","371100","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1969","1969","ha","386800","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1970","1970","ha","404300","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1971","1971","ha","422800","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1972","1972","ha","440500","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1973","1973","ha","497000","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1974","1974","ha","471000","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1975","1975","ha","498000","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1976","1976","ha","526000","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1977","1977","ha","698000","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1978","1978","ha","740000","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1979","1979","ha","784700","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1980","1980","ha","836700","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1981","1981","ha","901300","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1982","1982","ha","953000","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1983","1983","ha","952600","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1984","1984","ha","1028700","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1985","1985","ha","1099800","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1986","1986","ha","1173700","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1987","1987","ha","1233700","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1988","1988","ha","1566500","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1989","1989","ha","1373300","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1990","1990","ha","1566500","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1991","1991","ha","1412000","*","Unofficial figure"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","1992","1992","ha","1450000","F","FAO estimate"
